PARROQUIA;CODIGO_PARROQUIA;NOMBRE;CODIGO_INSTITUCION;TIPO_EDUCACION;SOSTENIMIENTO;ZONA;MODALIDAD;DOCENTES;TOTAL_ESTUDIANTES
TAURA;091154;5 DE JUNIO;09H05644;Educación Regular;Fiscal;RuralINEC;Presencial;2;42
PASCUALES;090115;LLUVIA DE ALEGRIA;09H05645;Educación Regular;Particular;UrbanaINEC;Presencial;2;9
FEBRES CORDERO;090104;LOS PARVULITOS DEL MANANA;09H05646;Educación Regular;Particular;UrbanaINEC;Presencial;3;25
TARQUI;090112;PARVULITOS NAVEGANDO;09H05647;Educación Regular;Particular;UrbanaINEC;Presencial;7;88
TARQUI;090112;MARIA DE NAZARETH;09H05649;Educación Regular;Particular;UrbanaINEC;Presencial;8;137
XIMENA;090114;CASTILLO DE VERANO;09H05651;Educación Regular;Particular;UrbanaINEC;Presencial;2;52
XIMENA;090114;RINCON DEL SABER N 2;09H05652;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;11
XIMENA;090114;PRIMERO DE JUNIO;09H05653;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;22
GUAYAS (PUEBLO NUEVO);090851;TRES DE OCTUBRE;09H05654;Educación Regular;Fiscal;RuralINEC;Presencial;1;22
FEBRES CORDERO;090104;JULIA MANTILLA DE REYES;09H05655;Popular Permanente;Fiscal;UrbanaINEC;Presencial;4;184
CORONEL MARCELINO MARIDUEÑA;092350; ROSA PAREDES JUMBO;09H05656;Educación Regular;Fiscal;UrbanaINEC;Presencial;2;19
SUCRE;090111;LUCIA PORRES DE JANER;09H05657;Educación Regular;Fiscomisional;UrbanaINEC;Presencial;7;50
CARBO (CONCEPCION);090103;MI OSITO  N  92;09H05658;Educación Regular;Particular;UrbanaINEC;Presencial;2;18
COLIMES;090550;25 DE JULIO;09H05659;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;13
LOS LOJAS (ENRIQUE BAQUERIZO MORENO);090656;DIOS CON NOSOTROS;09H05660;Popular Permanente;Fiscal;RuralINEC;Presencial;1;47
LA VICTORIA (ÑAUZA);091952;24 DE MAYO;09H05661;Educación Regular;Fiscal;RuralINEC;Presencial;3;29
FEBRES CORDERO;090104;EL RINCON DE ENSEÑANZA;09H05662;Educación Regular;Particular;UrbanaINEC;Presencial;6;49
TARQUI;090112;SEMILLERO DE LA PATRIA;09H05664;Educación Regular;Particular;UrbanaINEC;Presencial;5;64
EL TRIUNFO;090950;CENTRO ESCUELA DIVINO NIÑO JESUS;09H05666;Popular Permanente;Municipal;UrbanaINEC;Presencial;1;88
BALAO;090350;CIUDAD DE BALAO;09H05667;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;31
GRAL. PEDRO J. MONTERO (BOLICHE);092053;LUZ DE LA AURORA;09H05668;Educación Regular;Particular;RuralINEC;Presencial;6;58
CORONEL MARCELINO MARIDUEÑA;092350;RIO CHANCHAN;09H05669;Educación Regular;Fiscal;UrbanaINEC;Presencial;4;59
ELOY ALFARO (DURAN);090701;ACCION MISIONERA EVANGELICA NACIONAL;09H05671;Educación Regular;Particular;UrbanaINEC;Presencial;9;164
DAULE;090601;ZOILITA;09H05672;Popular Permanente;Particular;UrbanaINEC;Presencial;9;34
ROCAFUERTE;090110;COLEGIO PARTICULAR  A DISTANCIA ANTONIO RUIZ FLORES;09H05673;Popular Permanente;Particular;UrbanaINEC;A Distancia;7;23
PASCUALES;090115;JOSE GREGORIO HERNANDEZ;09H05674;Popular Permanente;Particular;UrbanaINEC;Presencial;5;0
XIMENA;090114;ESCUELA APRENDIZAJE Y DESARROLLO;09H05677;Educación Regular;Particular;UrbanaINEC;Presencial;4;29
FEBRES CORDERO;090104;ESCUELA MIXTA PARTICULAR DR AQUILES RODRIGUEZ VENEGAS;09H05678;Educación Regular;Particular;UrbanaINEC;Presencial;8;143
FEBRES CORDERO;090104;ELSA JURADO LASCANO;09H05679;Educación Regular;Particular;UrbanaINEC;Presencial;2;140
XIMENA;090114;SAN JERONIMO EMILIANI;09H05680;Educación Regular;Fiscal;UrbanaINEC;Presencial;2;35
TARQUI;090112;EUREKA SCHOOL  1466  920;09H05683;Educación Regular;Particular;UrbanaINEC;Presencial;4;79
LA VICTORIA (ÑAUZA);091952;RETONITO DE LA VICTORIA;09H05685;Educación Regular;Fiscal;RuralINEC;Presencial;3;43
BANIFE;090603;CRISTOBAL COLON 8;09H05687;Educación Regular;Particular;UrbanaINEC;Presencial;2;32
TARQUI;090112;MANITOS TRAVIESAS;09H05688;Educación Regular;Particular;UrbanaINEC;Presencial;2;9
XIMENA;090114;ARCO IRIS DE COLORES 1040;09H05689;Educación Regular;Particular;UrbanaINEC;Presencial;9;16
GENERAL VILLAMIL (PLAYAS);092150;MARIA MERCEDES;09H05690;Educación Regular;Particular;UrbanaINEC;Presencial;7;11
XIMENA;090114;COLEGIO PARTICULAR MIXTO SAGRADO CORAZON DE JESUS;09H05692;Educación Regular;Particular;UrbanaINEC;Presencial;9;8
DAULE;090601;FORMANDO LIDERES;09H05693;Educación Regular;Particular;UrbanaINEC;Presencial;7;13
ELOY ALFARO (DURAN);090701;CENTRO DEL SABER;09H05694;Educación Regular;Particular;UrbanaINEC;Presencial;3;37
XIMENA;090114;JUGUEMOS A ESTUDIAR;09H05695;Popular Permanente;Fiscal;UrbanaINEC;Presencial;2;27
XIMENA;090114;CPP 21 DE SEPTIEMBRE;09H05696;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;29
SAN JACINTO DE YAGUACHI;092050;NICOLAS LAPENTI;09H05697;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;61
EL TRIUNFO;090950;VIRGEN DEL CISNE;09H05698;Popular Permanente;Municipal;UrbanaINEC;Presencial;4;115
GUAYAS (PUEBLO NUEVO);090851;PAUBLA TRINIDAD SANTANA GARCIA;09H05699;Educación Regular;Particular;RuralINEC;A Distancia;13;113
TARQUI;090112;COLEGIO A DISTANCIA PABLO NERUDA;09H05701;Educación Regular;Particular;UrbanaINEC;Presencial;10;15
ALFREDO BAQUERIZO MORENO (JUJAN);090250;SEMIRA (RECINTO TRES POTES);09H05702;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;9
PEDRO CARBO;091450;GERMANIA;09H05703;Popular Permanente;Particular;UrbanaINEC;Presencial;7;32
XIMENA;090114;REVIVIR;09H05704;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;10
TARQUI;090112;AMIGUITOS DE JESUS 476;09H05705;Educación Regular;Particular;UrbanaINEC;Presencial;6;68
FEBRES CORDERO;090104;JESSICA LORENA;09H05708;Educación Regular;Particular;UrbanaINEC;Presencial;6;37
ELOY ALFARO (DURAN);090701;BAL 74 HUANCAVILCA;09H05709;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;19
TARQUI;090112;TEOFILO MATEO ZUNIGA  N  1498;09H05710;Educación Regular;Particular;UrbanaINEC;Presencial;4;54
TARQUI;090112;CELECTA GARCES;09H05711;Educación Regular;Particular;UrbanaINEC;Presencial;10;63
TARQUI;090112;ESCUELA FISCAL MIXTA TRINIDAD DE DIOS 495;09H05712;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;348
TARQUI;090112;ESCUELA FISCAL MIXTA VOLUNTAD DE DIOS 494;09H05713;Educación Regular;Fiscal;UrbanaINEC;Presencial;13;453
TARQUI;090112;ESCUELA FISCAL MIXTA  ARNULFO OSWALDO JARAMILLO SIERRA  493;09H05714;Educación Regular;Fiscal;UrbanaINEC;Presencial;9;371
TARQUI;090112;SAN FELIPE NERI;09H05715;Educación Regular;Particular;UrbanaINEC;Presencial;7;40
MILAGRO;091050;CENTRO DE EDUCACION ESPECIAL AVINNFA MILAGRO;09H05717;Educación Especial;Particular;UrbanaINEC;Presencial;19;145
VELASCO IBARRA;090850;MI ECUADOR;09H05718;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;0
GUAYAS (PUEBLO NUEVO);090851;HUASCAR  72;09H05719;Educación Regular;Fiscal;RuralINEC;Presencial;2;45
TARQUI;090112;FASINARM;09H05723;Educación Especial;Fiscal;UrbanaINEC;Presencial;0;0
GARCIA MORENO;090105;COLEGIO DR CARLOS ABAD PIEDRA;09H05729;Educación Especial;Fiscomisional;UrbanaINEC;Presencial;6;33
JUAN GOMEZ RENDON (PROGRESO);090152;CENTRO DE ALFABETIZACION CAIMITO;09H05733;Popular Permanente;Fiscal;RuralINEC;Presencial;1;14
GENERAL VILLAMIL (PLAYAS);092150;THE LONDON ENGLISH LAB;09H05735;Popular Permanente;Particular;UrbanaINEC;Presencial;1;8
DAULE;090601;ORLASSI;09H05737;Popular Permanente;Particular;UrbanaINEC;Presencial;1;0
GUAYAS (PUEBLO NUEVO);090851;DOCE DE OCTUBRE;09H05740;Educación Regular;Fiscal;RuralINEC;Presencial;2;45
TARIFA;091651;NACIONES UNIDAS;09H05741;Educación Regular;Particular;RuralINEC;Presencial;41;339
SAMBORONDON;091650;CENTRO OCUPACIONAL SAMBORONDÓN;09H05743;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;34
TARQUI;090112;PINTURAS Y GARABATOS;09H05744;Educación Regular;Particular;UrbanaINEC;Presencial;4;55
TARQUI;090112;ALEJANDRO JATIVA MARTINEZ;09H05745;Educación Regular;Fiscal;UrbanaINEC;Presencial;4;50
FEBRES CORDERO;090104;ARCO IRIS;09H05746;Educación Regular;Fiscal;UrbanaINEC;Presencial;3;47
FEBRES CORDERO;090104;LOS NINOS DEL BATALLON;09H05747;Educación Regular;Fiscal;UrbanaINEC;Presencial;2;28
VELASCO IBARRA;090850;SIN NOMBRE   29;09H05748;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;20
XIMENA;090114;CENTRO OCUPACIONAL BUEN PASTOR;09H05749;Popular Permanente;Particular;UrbanaINEC;Presencial;2;61
BALAO;090350;17 DE NOVIEMBRE  CENTRO PRIMARIA POPULAR;09H05750;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;20
BALAO;090350;MIRAFLORES;09H05751;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;14
ALFREDO BAQUERIZO MORENO (JUJAN);090250;CENTRO DE PRIM POPULAR CARLOS LAMA ESTRADA;09H05753;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;13
XIMENA;090114;LUIS CHIRIBOGA PARRA;09H05754;Educación Regular;Fiscal;UrbanaINEC;Presencial;2;36
TARQUI;090112;JUGANDO APRENDO;09H05755;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;25
JUAN GOMEZ RENDON (PROGRESO);090152;3 DE JUNIO;09H05756;Popular Permanente;Fiscal;RuralINEC;Presencial;1;39
MORRO;090153;EL MORRO;09H05757;Popular Permanente;Fiscal;RuralINEC;Presencial;1;20
TARQUI;090112;MAGISTRADOS DEL FUTURO;09H05758;Educación Regular;Particular;UrbanaINEC;Presencial;3;40
TARQUI;090112;HERENCIA DE JEHOVA 1168;09H05759;Educación Regular;Particular;UrbanaINEC;Presencial;4;56
EL TRIUNFO;090950;RODOLFO FLORESMILO GILER;09H05760;Popular Permanente;Municipal;UrbanaINEC;Presencial;1;28
PUNA;090157;24 DE SEPTIEMBRE;09H05761;Popular Permanente;Fiscal;RuralINEC;Presencial;1;57
BALAO;090350;9 DE OCTUBRE;09H05762;Educación Regular;Fiscal;UrbanaINEC;Presencial;0;16
TARQUI;090112;ECOS DE LA EDUCACION;09H05763;Educación Regular;Particular;UrbanaINEC;Presencial;3;117
TARQUI;090112;FUTURO DEL SABER;09H05764;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;19
TARQUI;090112;FORTALEZA DEL SINAI;09H05765;Educación Regular;Particular;UrbanaINEC;Presencial;2;36
POSORJA;090156;CRISTAL DE POSORJA;09H05766;Educación Regular;Particular;RuralINEC;Presencial;4;42
PASCUALES;090115;LIBERTAD DIVINA;09H05767;Educación Regular;Particular;UrbanaINEC;Presencial;4;29
TARQUI;090112;FUTURO DEL SABER;09H05768;Popular Permanente;Fiscomisional;UrbanaINEC;Presencial;1;36
TARQUI;090112;SAN JERONIMO EMILIANI 1201;09H05769;Educación Regular;Particular;UrbanaINEC;Presencial;6;129
GARCIA MORENO;090105;INTERNACIONAL ECUADOR AMOZONICO;09H05770;Educación Regular;Particular;UrbanaINEC;Presencial;14;189
ELOY ALFARO (DURAN);090701;NUESTRA SEÑORA DE  NAZARETH;09H05771;Educación Regular;Particular;UrbanaINEC;Presencial;9;237
JUNQUILLAL;091953;CENTRO ESCUELA LA FORTUNA;09H05773;Popular Permanente;Fiscal;RuralINEC;Presencial;0;0
CORONEL MARCELINO MARIDUEÑA;092350;MANUEL SOLIS ORTEGA NO 5;09H05774;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;13
VIRGEN DE FATIMA;092056;FAE NO 3 TAURA;09H05775;Educación Regular;Particular;RuralINEC;Presencial;29;0
EL RECREO;090702;MAMA GUILLITA;09H05776;Educación Regular;Particular;UrbanaINEC;Presencial;2;20
MILAGRO;091050;JAN GALLAGHER;09H05779;Popular Permanente;Particular;UrbanaINEC;Presencial;13;55
ROCAFUERTE;090110;AMERICA S CENTER;09H05780;Educación Regular;Particular;UrbanaINEC;Presencial;5;19
PUNA;090157;CARLOS ALBERTO AVILES RONQUILLO;09H05781;Educación Regular;Fiscal;RuralINEC;Presencial;1;8
EL SALITRE (LAS RAMAS);091950;DIECISEIS DE NOVIEMBRE NÚMERO 24;09H05782;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;30
TARQUI;090112;AMIGUITOS LECTORES;09H05784;Educación Regular;Particular;UrbanaINEC;Presencial;0;0
TAURA;091154;CIUDAD DE GUAYAQUIL;09H05785;Educación Regular;Fiscal;RuralINEC;Presencial;1;42
SIMON BOLIVAR;092250;SIN NOMBRE NUMERO OCHO;09H05786;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;30
TARQUI;090112;AÑORANZA  DEL MAÑANA;09H05787;Educación Regular;Particular;UrbanaINEC;Presencial;6;37
TARQUI;090112;SIN NOMBRE NO 464;09H05788;Educación Regular;Fiscal;UrbanaINEC;Presencial;4;125
CARBO (CONCEPCION);090103;DR ALBERTO RIERA LOPEZ;09H05789;Educación Regular;Particular;UrbanaINEC;Presencial;10;116
MILAGRO;091050;RENE;09H05790;Popular Permanente;Particular;UrbanaINEC;Presencial;8;48
MILAGRO;091050;KATTIA;09H05791;Popular Permanente;Particular;UrbanaINEC;Presencial;6;0
TARQUI;090112;DR ENRIQUE GIL CALDERON;09H05793;Educación Regular;Fiscal;UrbanaINEC;Presencial;16;616
TARQUI;090112;AMIGUITOS LECTORES;09H05795;Educación Regular;Particular;UrbanaINEC;Presencial;0;0
TARQUI;090112;APRENDIENDO CON JESUS;09H05796;Educación Regular;Particular;UrbanaINEC;Presencial;6;54
TARQUI;090112;PEQUEÑOS GENIOS;09H05797;Educación Regular;Particular;UrbanaINEC;Presencial;3;5
TARQUI;090112;ALBERTO SPENCER HERRERA  1175;09H05798;Educación Regular;Particular;UrbanaINEC;Presencial;4;45
TARQUI;090112;LOS PEQUEÑOS TRIUNFADORES;09H05799;Educación Regular;Particular;UrbanaINEC;Presencial;3;26
XIMENA;090114;EL SABER ES PODER;09H05800;Educación Regular;Particular;UrbanaINEC;Presencial;4;55
EL ROSARIO;090852;TITO SANCHEZ;09H05801;Educación Regular;Fiscal;RuralINEC;Presencial;2;32
ALFREDO BAQUERIZO MORENO (JUJAN);090250;LENIN SANCHEZ ROMERO;09H05802;Educación Regular;Fiscal;UrbanaINEC;Presencial;3;32
PUNA;090157;DOCE DE JULIO;09H05803;Educación Regular;Fiscal;RuralINEC;Presencial;3;86
JUNQUILLAL;091953;EUFEMIA MARIA RAMOS LOPEZ;09H05804;Educación Regular;Fiscal;RuralINEC;Presencial;4;115
GUAYAS (PUEBLO NUEVO);090851;BEATRIZ MACIAS N 87;09H05805;Educación Regular;Fiscal;RuralINEC;Presencial;1;20
TARQUI;090112;SEBASTIAN LANDETA CAGUA;09H05807;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;425
TARQUI;090112;MONTE SINAI EBENEZER;09H05808;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;237
TARQUI;090112;MAMI NATI #1138;09H05809;Educación Regular;Particular;UrbanaINEC;Presencial;4;41
ISIDRO AYORA;092850;ARCA DE NOE;09H05810;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;13
FEBRES CORDERO;090104;PLAN PILOTO;09H05811;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;12
TARQUI;090112;FEDEGUAYAS;09H05812;Educación Regular;Particular;UrbanaINEC;Presencial;13;155
URDANETA;090113;OLYMPUS;09H05813;Educación Regular;Particular;UrbanaINEC;Presencial;6;31
GRAL. VERNAZA (DOS ESTEROS);091951;23 DE JUNIO;09H05814;Popular Permanente;Fiscal;RuralINEC;Presencial;1;65
XIMENA;090114;UNIDAD EDUCATIVA A DISTANCIA GENERAL ANTONIO ELIZALDE;09H05815;Popular Permanente;Particular;UrbanaINEC;Semipresencial;14;432
TARQUI;090112;MAGICAS AVENTURAS;09H05816;Educación Regular;Particular;UrbanaINEC;Presencial;2;23
FEBRES CORDERO;090104;SOL EN LOS ANDES  1063  1216;09H05817;Educación Regular;Particular;UrbanaINEC;Presencial;6;38
ELOY ALFARO (DURAN);090701;JOSE HERNANDO BENAVIDES;09H05818;Educación Regular;Particular;UrbanaINEC;Presencial;6;32
TARQUI;090112;FUNDACION CRECER;09H05819;Popular Permanente;Particular;UrbanaINEC;Presencial;3;63
TARQUI;090112;13 DE OCTUBRE;09H05821;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;55
NARANJAL;091150;CLASS;09H05823;Popular Permanente;Particular;UrbanaINEC;Presencial;3;361
LA AURORA;090602;HARVEST;09H05824;Educación Regular;Particular;UrbanaINEC;Presencial;13;68
LOS LOJAS (ENRIQUE BAQUERIZO MORENO);090656;C.P.P. NARCISA DE JESUS ;09H05825;Popular Permanente;Fiscal;RuralINEC;Presencial;0;0
GUAYAS (PUEBLO NUEVO);090851;CENTRO ESCUELA CARLOS MANUEL ROSADO;09H05826;Popular Permanente;Fiscal;RuralINEC;Presencial;0;0
VELASCO IBARRA;090850;CENTRO DE PRIMARIA POPULAR ATILIO VELEZ ARAY ;09H05828;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;29
VELASCO IBARRA;090850;CENTRO DE PRIMARIA POPULAR 27 DE ABRIL        ;09H05829;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;12
PUNA;090157;CENTRO DE PRIMARIA POPULAR LUZ DE AMERICA;09H05830;Popular Permanente;Fiscal;RuralINEC;Presencial;1;15
VIRGEN DE FATIMA;092056;LIBERTADOR BOLIVAR  N 9;09H05831;Educación Regular;Fiscal;RuralINEC;Presencial;3;138
TARQUI;090112;CENTRO DE PRIMARIA POPULAR UNIDOS VENCEREMOS;09H05834;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;47
TARQUI;090112;CENTRO DE PRIMARIA POPULAR HUERTO DE LOS OLIVOS;09H05837;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;58
TARQUI;090112;CENTRO DE PRIMARIA POPULAR PARAISO UNIVERSAL;09H05840;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;0
TARQUI;090112;CENTRO DE PRIMARIA POPULAR CINCO DE JUNIO;09H05841;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;21
TARQUI;090112;CENTRO DE PRIMARIA POPULAR TRECE DE MARZO;09H05843;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;0
NARANJITO;091250;CENTRO DE ADULTOS ING. MANUEL SOLIS ORTEGA;09H05844;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;9
TARQUI;090112;CENTRO DE CAPACITACION OCUPACIONAL ESCUELA DE LOS CHEFS;09H05845;Popular Permanente;Particular;UrbanaINEC;Presencial;9;431
TARQUI;090112;CENTRO DE FORMACION ARTESANAL  DIFFERENCE;09H05846;Popular Permanente;Particular;UrbanaINEC;Presencial;4;68
TARQUI;090112;CENTRO OCUPACIONAL SAUCES 5;09H05853;Popular Permanente;Fiscal;UrbanaINEC;Presencial;2;0
TARQUI;090112;CENTRO DE PRIMARIA POPULAR VOLUNTAD DE DIOS;09H05854;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;39
TARQUI;090112;CENTRO CAPACITACION     AMERICA S CENTER;09H05856;Popular Permanente;Particular;UrbanaINEC;Presencial;1;17
TARQUI;090112;CENTRO DE PRIMARIA POPULAR FUERTE MILITAR HUANCAVILCA;09H05859;Popular Permanente;Fiscal;UrbanaINEC;Presencial;2;76
SABANILLA;091452;XAVIER GOMEZ SALAZAR;09H05861;Popular Permanente;Fiscal;RuralINEC;Presencial;1;20
GUAYAS (PUEBLO NUEVO);090851;CENTRO ESCUELA MONSEÑOR LEONIDAS PROAÑO;09H05863;Educación Regular;Fiscal;RuralINEC;Presencial;1;13
LA VICTORIA (ÑAUZA);091952;AMADA OLVERA;09H05865;Popular Permanente;Fiscal;RuralINEC;Presencial;1;16
SANTA ROSA DE FLANDES;091153;PUERTO BAQUERIZO;09H05866;Educación Regular;Fiscal;RuralINEC;Presencial;2;17
PEDRO CARBO;091450;HERIBERTO RUSSA;09H05867;Popular Permanente;Municipal;UrbanaINEC;Presencial;1;39
PEDRO CARBO;091450;CENTRO ESCUELA  ELOY ALFARO;09H05870;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;26
TARQUI;090112;CENTRO DE PRIMARIA POPULAR FUNDACION ES JUSTO Y NECESARIO;09H05871;Popular Permanente;Particular;UrbanaINEC;Presencial;4;56
GUAYAS (PUEBLO NUEVO);090851;5 DE JUNIO    N  75;09H05872;Educación Regular;Fiscal;RuralINEC;Presencial;0;15
XIMENA;090114;CAMILO SALAS BALDERRAMA;09H05874;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;19
GUAYAS (PUEBLO NUEVO);090851;BELLAVISTA  44;09H05875;Educación Regular;Fiscal;RuralINEC;Presencial;1;24
DAULE;090601;DRA AZUCENA CASTRO NUÑEZ   N 32;09H05876;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;23
PASCUALES;090115;EL PATRIARCA ABRAHAM ;09H05877;Educación Regular;Particular;UrbanaINEC;Presencial;1;58
TARQUI;090112;JUAN LEON MERA;09H05878;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;0
LOS LOJAS (ENRIQUE BAQUERIZO MORENO);090656;APRENDAMOS JUNTOS;09H05879;Popular Permanente;Fiscal;RuralINEC;Presencial;1;0
TARQUI;090112;CAMINANDO CON JESUS  N  215;09H05880;Educación Regular;Particular;UrbanaINEC;Presencial;2;21
NARCISA DE JESUS;092550;7 DE AGOSTO;09H05881;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;26
TARQUI;090112;SOFIA QUEVEDO DE GRUNAUER;09H05882;Educación Regular;Fiscal;UrbanaINEC;Presencial;8;254
JUAN BAUTISTA AGUIRRE (LOS TINTOS);090652;SAN ANDRES APOSTOL;09H05883;Educación Regular;Particular;RuralINEC;Presencial;4;36
ELOY ALFARO (DURAN);090701;MIS PRIMERAS PALABRAS;09H05884;Educación Regular;Particular;UrbanaINEC;Presencial;2;30
ELOY ALFARO (DURAN);090701;BAL 74 HUANCAVILCA;09H05885;Educación Regular;Fiscal;UrbanaINEC;Presencial;4;252
ELOY ALFARO (DURAN);090701;CENTRO DE FORMACION ARTESANAL LEONISTICO;09H05886;Popular Permanente;Fiscal;UrbanaINEC;Presencial;15;126
ELOY ALFARO (DURAN);090701;LOS EXPLORADORES;09H05887;Educación Regular;Particular;UrbanaINEC;Presencial;0;0
TARQUI;090112;LOUISIANA;09H05888;Educación Regular;Particular;UrbanaINEC;Presencial;0;0
TARQUI;090112;MAR;09H05889;Formación Artística;Particular;UrbanaINEC;Presencial;0;0
DAULE;090601;SANTIAGO MORAN AGUILERA ;09H05890;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;26
TARQUI;090112;MARIA EUGENIA PLAZA DE PLAZA;09H05891;Popular Permanente;Fiscal;UrbanaINEC;Presencial;5;0
LETAMENDI;090106;CARITAS DE ANGEL;09H05892;Popular Permanente;Particular;UrbanaINEC;Presencial;1;9
DAULE;090601;SANTIAGO MORAN AGUILERA ;09H05893;No Escolarizada;Particular;UrbanaINEC;Presencial;0;0
EL RECREO;090702;MANANTIAL DEL SABER;09H05894;Educación Regular;Particular;UrbanaINEC;Presencial;3;44
EL RECREO;090702;BARUJITOS;09H05895;Educación Regular;Particular;UrbanaINEC;Presencial;7;78
TARQUI;090112;REPUBLICA DE LIBERIA ;09H05896;Educación Regular;Particular;UrbanaINEC;Presencial;6;45
PUNA;090157;EL CONCHAL   N19;09H05897;Educación Regular;Fiscal;RuralINEC;Presencial;1;26
XIMENA;090114;CARIÑO Y AMOR;09H05898;Educación Regular;Particular;UrbanaINEC;Presencial;1;10
BALZAR;090450;THEO VILLON;09H05899;Educación Regular;Municipal;UrbanaINEC;Presencial;1;25
EL TRIUNFO;090950;DR. CAMILO GALLEGOS DOMINGUEZ;09H05901;Educación Regular;Fiscal;UrbanaINEC;Presencial;0;0
MILAGRO;091050;CENTRO PRIMARIO POPULAR JAIME ROLDOS AGUILERA;09H05902;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;14
MILAGRO;091050;CENTRO PRIMARIO POPULAR DR. OSWALDO HURTADO LARREA;09H05903;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;15
MILAGRO;091050;CENTRO PRIMARIO POPULAR 21 DE MAYO;09H05904;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;21
MILAGRO;091050;PIÑAL DEL SABER;09H05905;Educación Regular;Particular;UrbanaINEC;Presencial;3;49
SIMON BOLIVAR;092250;CENTRO PRIMARIO POPULAR EL CONGO;09H05906;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;11
TARIFA;091651;CENTRO PRIMARIO POPULAR NUEVOS HORIZONTES EXTENCION 9-S;09H05907;Educación Regular;Particular;RuralINEC;Semipresencial y A Distancia;1;0
SANTA LUCIA;091850;CENTRO PRIMARIO POPULAR VICENTE ROCAFUERTE;09H05908;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;13
SANTA LUCIA;091850;CENTRO PRIMARIO POPULAR MARISCAL SUCRE;09H05909;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;18
ELOY ALFARO (DURAN);090701;CENTRO PRIMARIO POPULAR JACINTA SANDIFORD;09H05912;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;80
DAULE;090601;CENTRO PRIMARIO POPULAR EL PARAISO;09H05914;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;14
TARQUI;090112;LIBERTADOR SIMON BOLIVAR ;09H05915;Popular Permanente;Particular;UrbanaINEC;Presencial;8;76
GUAYAQUIL;090150;TESORO PARA NIÑOS;09H05916;Educación Regular;Particular;UrbanaINEC;Presencial;5;80
LIMONAL;090654;CENTRO OCUPACIONAL ZOILITA;09H05917;No Escolarizada;Fiscal;RuralINEC;Presencial;1;0
XIMENA;090114;NUEVOS HORIZONTES EXTENCION 4 - G;09H05918;Educación Regular;Particular;UrbanaINEC;Semipresencial;7;31
BANIFE;090603;MANUEL WOLF HERRERA;09H05919;Popular Permanente;Fiscal;UrbanaINEC;Presencial;1;0
GENERAL ANTONIO ELIZALDE (BUCAY);092750;NUESTRA SEÑORA DEL CARMEN;09H05920;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;0
ELOY ALFARO (DURAN);090701;BET ESDA;09H05921;Educación Regular;Particular;UrbanaINEC;Presencial;7;93
